id,Latitude,Longitude,NumberOfStories,YearBuilt,OccupancyClass,PlanArea,StructureType,Footprint
39,61.21980673,-149.8981587,1,1941,COM4,4800,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.897733,61.219994],[-149.897995,61.219995],[-149.897995,61.219963],[-149.898223,61.219963],[-149.898223,61.219836],[-149.898030,61.219836],[-149.898030,61.219870],[-149.897733,61.219870],[-149.897733,61.219994]]]},""properties"":{}}"
40,61.21979192,-149.9005449,2,1941,COM4,2155,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.900430,61.220108],[-149.900430,61.220180],[-149.900513,61.220180],[-149.900513,61.220108],[-149.900430,61.220108]]]},""properties"":{}}"
41,61.22021259,-149.9004793,1,1917,RES1,1096,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.900430,61.220108],[-149.900430,61.220180],[-149.900513,61.220180],[-149.900513,61.220108],[-149.900430,61.220108]]]},""properties"":{}}"
42,61.22021508,-149.9002006,1,1939,RES1,1302,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.900256,61.220055],[-149.900100,61.220055],[-149.900100,61.220140],[-149.900256,61.220140],[-149.900256,61.220055]]]},""properties"":{}}"
43,61.22022655,-149.8981614,2,1975,COM4,4136,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.898233,61.220161],[-149.898104,61.220162],[-149.898108,61.220281],[-149.898236,61.220280],[-149.898233,61.220161]]]},""properties"":{}}"
44,61.21905085,-149.9006222,5,1973,COM4,112745,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.900601,61.219042],[-149.900601,61.219057],[-149.900494,61.219057],[-149.900497,61.219407],[-149.901515,61.219405],[-149.901512,61.219060],[-149.901400,61.219060],[-149.901400,61.219041],[-149.900601,61.219042]]]},""properties"":{}}"
45,61.21905726,-149.8985817,6,1996,COM4,192680,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.899300,61.218997],[-149.899291,61.218733],[-149.898967,61.218736],[-149.898964,61.218637],[-149.898487,61.218641],[-149.898487,61.218662],[-149.898388,61.218663],[-149.898389,61.218686],[-149.897869,61.218691],[-149.897869,61.218703],[-149.897820,61.218703],[-149.897821,61.218736],[-149.897774,61.218736],[-149.897784,61.219010],[-149.899300,61.218997]]]},""properties"":{}}"
46,61.21378343,-149.9113652,2,1978,RES1,4212,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.911148,61.214501],[-149.911384,61.214505],[-149.911390,61.214428],[-149.911443,61.214429],[-149.911454,61.214280],[-149.911500,61.214281],[-149.911505,61.214208],[-149.911528,61.214208],[-149.911532,61.214150],[-149.911410,61.214148],[-149.911407,61.214192],[-149.911260,61.214190],[-149.911254,61.214263],[-149.911218,61.214262],[-149.911213,61.214337],[-149.911160,61.214336],[-149.911148,61.214501]]]},""properties"":{}}"
47,61.21602336,-149.9022325,1,1965,COM4,936,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.902439,61.215965],[-149.902241,61.215965],[-149.902241,61.216078],[-149.902439,61.216078],[-149.902439,61.215965]]]},""properties"":{}}"
48,61.21588656,-149.9022302,1,1950,COM4,1972,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.902053,61.215912],[-149.902266,61.215912],[-149.902266,61.215839],[-149.902176,61.215839],[-149.902176,61.215862],[-149.902053,61.215862],[-149.902053,61.215912]]]},""properties"":{}}"
49,61.21574779,-149.9022299,1,1966,COM4,1814,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.902195,61.215716],[-149.902031,61.215716],[-149.902031,61.215801],[-149.902302,61.215801],[-149.902302,61.215691],[-149.902195,61.215691],[-149.902195,61.215716]]]},""properties"":{}}"
50,61.21531167,-149.9022185,1,1960,COM4,10763,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.902369,61.215322],[-149.902368,61.215237],[-149.902078,61.215238],[-149.902080,61.215321],[-149.901902,61.215322],[-149.901905,61.215473],[-149.902611,61.215471],[-149.902609,61.215321],[-149.902369,61.215322]]]},""properties"":{}}"
51,61.21503922,-149.902215,1,1954,COM4,2256,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.901972,61.215067],[-149.902094,61.215068],[-149.902098,61.214967],[-149.902030,61.214966],[-149.902029,61.215002],[-149.901975,61.215002],[-149.901972,61.215067]]]},""properties"":{}}"
52,61.21476167,-149.9022117,1,1956,COM4,2992,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.902330,61.214683],[-149.901890,61.214684],[-149.901891,61.214809],[-149.902331,61.214809],[-149.902330,61.214683]]]},""properties"":{}}"
53,61.21389836,-149.8981554,2,1974,COM4,19950,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.897797,61.213708],[-149.897796,61.213924],[-149.898565,61.213925],[-149.898567,61.213709],[-149.897797,61.213708]]]},""properties"":{}}"
54,61.21389884,-149.8990033,1,1960,COM4,2586,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.897797,61.213708],[-149.897796,61.213924],[-149.898565,61.213925],[-149.898567,61.213709],[-149.897797,61.213708]]]},""properties"":{}}"
55,61.2138024,-149.8992865,1,1944,RES1,688,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.900565,61.213855],[-149.900568,61.213690],[-149.899887,61.213688],[-149.899885,61.213853],[-149.900565,61.213855]]]},""properties"":{}}"
56,61.21389934,-149.9011904,1,1961,COM4,3464,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.901058,61.213978],[-149.901262,61.213978],[-149.901262,61.213761],[-149.901208,61.213761],[-149.901208,61.213773],[-149.901152,61.213773],[-149.901152,61.213808],[-149.901058,61.213808],[-149.901058,61.213978]]]},""properties"":{}}"
57,61.21433675,-149.8981589,1,1950,RES1,1407,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.898298,61.214461],[-149.898298,61.214349],[-149.898123,61.214349],[-149.898123,61.214461],[-149.898298,61.214461]]]},""properties"":{}}"
58,61.21433665,-149.8978786,1,1981,COM1,2935,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.898298,61.214461],[-149.898298,61.214349],[-149.898123,61.214349],[-149.898123,61.214461],[-149.898298,61.214461]]]},""properties"":{}}"
59,61.21488215,-149.8978653,2,1946,COM4,5137,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.897761,61.215050],[-149.898005,61.215050],[-149.898005,61.214905],[-149.897761,61.214905],[-149.897761,61.215050]]]},""properties"":{}}"
60,61.2148816,-149.8981551,1,1965,COM4,3612,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.898045,61.214915],[-149.898082,61.214915],[-149.898082,61.214942],[-149.898139,61.214942],[-149.898139,61.215005],[-149.898324,61.215005],[-149.898324,61.214911],[-149.898243,61.214911],[-149.898243,61.214705],[-149.898044,61.214706],[-149.898045,61.214915]]]},""properties"":{}}"
61,61.2148819,-149.8985834,2,1965,COM4,10692,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.898834,61.214701],[-149.898381,61.214701],[-149.898379,61.215032],[-149.898833,61.215032],[-149.898834,61.214701]]]},""properties"":{}}"
62,61.2149779,-149.900054,2,1969,COM4,13276,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.899855,61.215066],[-149.900372,61.215064],[-149.900369,61.214885],[-149.900466,61.214885],[-149.900466,61.214860],[-149.900546,61.214860],[-149.900543,61.214678],[-149.899849,61.214680],[-149.899855,61.215066]]]},""properties"":{}}"
63,61.21488454,-149.9010501,1,1940,RES3,1920,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.901310,61.215040],[-149.901476,61.215039],[-149.901474,61.214950],[-149.901211,61.214951],[-149.901214,61.215065],[-149.901310,61.215065],[-149.901310,61.215040]]]},""properties"":{}}"
64,61.21488426,-149.9013337,2,1950,RES3,3300,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.901310,61.215040],[-149.901476,61.215039],[-149.901474,61.214950],[-149.901211,61.214951],[-149.901214,61.215065],[-149.901310,61.215065],[-149.901310,61.215040]]]},""properties"":{}}"
65,61.21532258,-149.9011932,2,1971,COM4,10865,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.901466,61.215158],[-149.900954,61.215157],[-149.900952,61.215326],[-149.901464,61.215327],[-149.901466,61.215158]]]},""properties"":{}}"
66,61.21531997,-149.9001976,2,1956,IND2,20800,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.899855,61.215066],[-149.900372,61.215064],[-149.900369,61.214885],[-149.900466,61.214885],[-149.900466,61.214860],[-149.900546,61.214860],[-149.900543,61.214678],[-149.899849,61.214680],[-149.899855,61.215066]]]},""properties"":{}}"
67,61.21532225,-149.897868,2,1963,RES4,8217,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.897988,61.215472],[-149.897987,61.215337],[-149.897800,61.215338],[-149.897801,61.215472],[-149.897988,61.215472]]]},""properties"":{}}"
68,61.21389717,-149.9003373,6,1970,COM4,54980,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.900565,61.213855],[-149.900568,61.213690],[-149.899887,61.213688],[-149.899885,61.213853],[-149.900565,61.213855]]]},""properties"":{}}"
69,61.21433688,-149.8985797,1,1997,COM4,1380,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.898380,61.214381],[-149.898376,61.214453],[-149.898500,61.214455],[-149.898499,61.214485],[-149.898664,61.214487],[-149.898666,61.214453],[-149.898828,61.214455],[-149.898832,61.214383],[-149.898710,61.214381],[-149.898712,61.214348],[-149.898517,61.214345],[-149.898515,61.214383],[-149.898380,61.214381]]]},""properties"":{}}"
70,61.21532015,-149.8987191,1,1998,RES4,38454,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.899407,61.215417],[-149.899425,61.215057],[-149.899454,61.215058],[-149.899471,61.214706],[-149.899184,61.214703],[-149.899167,61.215058],[-149.899020,61.215057],[-149.899017,61.215112],[-149.898103,61.215102],[-149.898091,61.215352],[-149.898053,61.215352],[-149.898048,61.215464],[-149.898672,61.215471],[-149.898675,61.215409],[-149.899407,61.215417]]]},""properties"":{}}"
71,61.21488257,-149.8992829,2,1968,COM4,12928,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-149.899407,61.215417],[-149.899425,61.215057],[-149.899454,61.215058],[-149.899471,61.214706],[-149.899184,61.214703],[-149.899167,61.215058],[-149.899020,61.215057],[-149.899017,61.215112],[-149.898103,61.215102],[-149.898091,61.215352],[-149.898053,61.215352],[-149.898048,61.215464],[-149.898672,61.215471],[-149.898675,61.215409],[-149.899407,61.215417]]]},""properties"":{}}"
