id,Latitude,Longitude,ReplacementCost,PlanArea,YearBuilt,NumberOfStories,OccupancyClass,StructureType,Footprint
43,37.87002513,-122.2869703,265000,1325,1942,2,RES3,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.286913,37.869949],[-122.286926,37.870107],[-122.287028,37.870101],[-122.287014,37.869943],[-122.286913,37.869949]]]},""properties"":{}}"
44,37.8690016,-122.2747521,1362200,6811,1925,1,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.274599,37.869019],[-122.274612,37.869096],[-122.274885,37.869067],[-122.274871,37.868988],[-122.274877,37.868987],[-122.274862,37.868900],[-122.274650,37.868922],[-122.274665,37.869012],[-122.274599,37.869019]]]},""properties"":{}}"
45,37.872531,-122.2763125,105993.3333,815.3333333,1903,2,COM10,C2,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.276397,37.872565],[-122.276397,37.872497],[-122.276228,37.872497],[-122.276228,37.872565],[-122.276397,37.872565]]]},""properties"":{}}"
46,37.8745649,-122.2763647,110866.6667,554.3333333,1932,1,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.276415,37.874619],[-122.276408,37.874507],[-122.276314,37.874511],[-122.276322,37.874623],[-122.276415,37.874619]]]},""properties"":{}}"
47,37.86519216,-122.2702051,4667500,23337.5,1931,2,RES3,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.270141,37.865374],[-122.270306,37.865361],[-122.270266,37.865042],[-122.270311,37.865039],[-122.270304,37.864982],[-122.270280,37.864984],[-122.270285,37.865020],[-122.270099,37.865034],[-122.270141,37.865374]]]},""properties"":{}}"
48,37.879725,-122.2800555,254100,1270.5,1918,2,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.280127,37.879656],[-122.279943,37.879718],[-122.279984,37.879794],[-122.280168,37.879732],[-122.280127,37.879656]]]},""properties"":{}}"
49,37.87520789,-122.2743038,476100,2380.5,1925,1,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.274252,37.875131],[-122.274244,37.875281],[-122.274355,37.875285],[-122.274364,37.875135],[-122.274252,37.875131]]]},""properties"":{}}"
50,37.87522831,-122.2736396,686800,3434,1928,2,RES3,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.273544,37.875288],[-122.273753,37.875264],[-122.273735,37.875169],[-122.273527,37.875192],[-122.273544,37.875288]]]},""properties"":{}}"
51,37.875287,-122.27598,286500,1432.5,1923,2,RES3,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.275879,37.875251],[-122.275879,37.875323],[-122.276081,37.875323],[-122.276081,37.875251],[-122.275879,37.875251]]]},""properties"":{}}"
52,37.875369,-122.2771465,184933.3333,924.6666667,1931,2,RES3,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.277094,37.875291],[-122.277105,37.875451],[-122.277199,37.875447],[-122.277188,37.875287],[-122.277094,37.875291]]]},""properties"":{}}"
