id,Latitude,Longitude,NumberOfStories,YearBuilt,OccupancyClass,StructureType,PlanArea,ReplacementCost
5249,37.5546,-122.313,1,1927,RES1,W1,2023.62,389976
5250,37.5545,-122.32,1,1954,RES3,W1,5314.78,501586
5251,37.5544,-122.32,1,1954,RES3,W1,4616.23,501586
5252,37.5545,-122.315,1,1925,RES1,W1,1569.47,482698
5253,37.5545,-122.312,2,1947,RES3,W1,3377.42,648911
5254,37.5544,-122.316,1,1930,COM5,W2,6195.97,652251
5255,37.5545,-122.314,1,1930,RES1,W1,1830.52,467531
5256,37.5544,-122.314,1,1930,RES1,W1,1823.6,467531
5257,37.5545,-122.319,1,1929,RES3,W1,777.176,450000
5258,37.5544,-122.319,1,1929,RES3,W1,1601.97,450000
5259,37.5545,-122.313,1,1929,RES1,W1,1835.26,452374
5260,37.5542,-122.313,1,1929,RES1,W1,1138.21,452374
5261,37.5545,-122.315,1,1927,RES1,W1,1882.67,524366
5262,37.5544,-122.315,1,1927,RES1,W1,598.6,524366
5263,37.5544,-122.312,2,1946,RES3,W1,3163.11,225092
5264,37.5544,-122.318,1,1931,RES1,W1,2449.36,271697
5265,37.5544,-122.313,1,1936,RES1,W1,2040.46,228130
5266,37.5544,-122.315,1,1925,RES1,W1,1784.55,313850
5267,37.5543,-122.311,2,1980,COM4,RM1,4394.87,59903
5268,37.5542,-122.312,1,1930,COM4,S5,1312.25,59903
5269,37.5543,-122.32,1,1957,RES3,RM1,5160.42,384429
5270,37.5543,-122.314,1,1929,RES1,W1,1564.63,378790
5271,37.5543,-122.313,2,1928,RES1,W1,2012.66,89245
5272,37.5542,-122.314,1,1937,RES1,W1,2143.24,249811
5273,37.5542,-122.319,1,1926,RES1,W1,1836.92,175473
5274,37.554,-122.315,1,1980,REL1,RM1,13882.6,975853
5275,37.5541,-122.315,1,1926,RES1,W1,2299.88,544533
5276,37.5541,-122.312,1,1960,COM8,RM1,4817.46,82542
5277,37.554,-122.32,2,1968,RES3,W1,6923.26,978068
5278,37.554,-122.319,1,1954,RES3,W1,4752.12,348301
5279,37.554,-122.315,1,1923,RES1,W1,1837.54,72425
5280,37.5494,-122.339,1,1956,RES1,W1,3761.4,110289
5281,37.5493,-122.336,1,1946,RES1,W1,4560.89,434850
5282,37.5494,-122.34,1,1960,RES1,W1,2068.64,163917
5283,37.5493,-122.338,1,1961,RES1,W1,2284.06,153720
5284,37.5493,-122.34,1,1960,RES1,W1,2622.2,437050
5285,37.5493,-122.335,1,1952,RES1,W1,1815.66,73983
5286,37.5493,-122.333,2,1931,RES1,W1,1515.81,2315958
5287,37.5492,-122.333,2,1931,RES1,W1,3946.54,2315958
5288,37.5488,-122.333,2,1931,RES1,W1,929.623,2315958
5289,37.5493,-122.338,1,1961,RES1,W1,4956.85,113889
5290,37.5493,-122.335,1,1951,RES1,W1,2152.73,92496
5291,37.5492,-122.336,1,1950,RES1,W1,3032.17,353423
5292,37.5492,-122.339,1,1961,RES1,W1,3313.31,650768
5293,37.5492,-122.338,2,1958,RES1,W1,2153.02,518761
5294,37.5492,-122.335,1,1951,RES1,W1,3759.57,271672
5295,37.5492,-122.34,1,1958,RES1,W1,2317.56,99754
5296,37.5491,-122.335,1,1941,RES1,W1,2475.67,561174
5297,37.5491,-122.335,1,1945,RES1,W1,2492.14,213409
5298,37.549,-122.335,2,1941,RES1,W1,2354.02,824386
5299,37.549,-122.336,1,1941,RES1,W1,2691.28,151123
5300,37.5489,-122.334,2,1971,RES1,W1,4157.64,774348
5301,37.5489,-122.335,1,1941,RES1,W1,1970.69,95299
5302,37.5489,-122.334,1,1969,RES1,W1,5599.41,198742
5303,37.5488,-122.336,1,1948,RES1,W1,3458.91,500000
5304,37.5488,-122.335,1,1966,RES1,W1,2779.19,122468
5305,37.5487,-122.335,2,1948,RES1,W1,2495.73,394362
5306,37.5486,-122.333,1,1968,RES1,W1,5217.93,201789
5307,37.5486,-122.336,1,1952,RES1,W1,3159.12,223160
5308,37.5486,-122.335,2,1953,RES1,W1,2410.94,553614
5309,37.5486,-122.334,1,1969,RES1,W1,3886.13,1313515
5310,37.5483,-122.334,1,1968,RES1,W1,4112.74,323353
5311,37.5484,-122.335,1,1950,RES1,W1,3061.7,484561
5312,37.548,-122.335,1,1972,RES1,W1,4219.17,537590
5313,37.548,-122.334,1,1968,RES1,W1,4662.48,970499
5314,37.5479,-122.333,1,1971,RES1,W1,5291.43,1289891
5315,37.5478,-122.334,1,1970,RES1,W1,5045.64,209488
5316,37.5476,-122.334,1,1975,RES1,RM1,4815.15,417245
5317,37.5477,-122.335,2,1972,RES1,W1,4432.39,1155534
5318,37.5476,-122.338,1,1956,RES1,W1,2277.2,91717
5319,37.5475,-122.336,2,1980,RES1,W1,2080.12,1896684
5320,37.5473,-122.336,2,1980,RES1,W1,7923.22,1896684
5321,37.5475,-122.335,2,2000,RES1,W1,5044.14,1560353
5322,37.5475,-122.338,1,1956,RES1,W1,2940.21,458603
5323,37.5473,-122.334,1,1975,RES1,W1,7852.44,839614
5324,37.5473,-122.338,1,1951,RES1,W1,1923.61,263271
5325,37.5472,-122.338,1,1951,RES1,W1,1127.76,263271
5326,37.5473,-122.337,1,1953,RES1,W1,2506.03,519450
5327,37.5471,-122.337,1,1953,RES1,W1,3056.88,519450
5328,37.5472,-122.335,1,1973,RES1,W1,4847.04,348052
5329,37.5471,-122.333,1,1973,RES1,W1,6273.98,254573
5330,37.5472,-122.339,2,1961,RES1,W1,4930.74,211710
5331,37.547,-122.339,1,1949,RES1,RM1,3880.47,309648
5332,37.547,-122.336,1,1975,RES1,W1,4219.59,1055097
5333,37.547,-122.338,1,1959,RES1,W1,3904.75,320604
5334,37.5469,-122.338,1,1956,RES1,W1,4684.31,886192
5335,37.5469,-122.335,1,1976,RES1,W1,5435.83,168281
5336,37.547,-122.337,1,1951,RES1,W1,2982.26,110890
5337,37.5469,-122.334,2,1973,RES1,W1,3647.29,714291
5338,37.5468,-122.335,1,1970,RES1,W1,5543.3,346431
5339,37.5467,-122.334,1,1973,RES1,W1,6425.32,842602
5340,37.5468,-122.338,1,1950,RES1,W1,2881.03,108495
5341,37.5467,-122.337,1,1974,RES1,W1,6801.45,585856
5342,37.5467,-122.339,1,1953,RES1,W1,3519.6,110990
5343,37.5467,-122.337,1,1950,RES1,W1,5050.55,1423859
5344,37.5466,-122.336,2,1995,RES1,W1,5346.85,928376
5345,37.5467,-122.333,1,1974,RES1,W1,4332.38,786495
5346,37.5466,-122.338,1,1954,RES1,W1,4220.74,820561
5347,37.5465,-122.333,1,1975,RES1,W1,5065.92,547449
5348,37.5465,-122.339,2,1956,RES1,W1,5816.42,612877
5349,37.5464,-122.338,1,1954,RES1,W1,4209.76,312935
5350,37.5464,-122.337,2,1974,RES1,W1,4537.25,582436
5351,37.5462,-122.334,1,1971,RES1,W1,5070.72,754706
5352,37.5462,-122.339,1,1953,RES1,W1,5608.4,424803
5353,37.5461,-122.338,1,1951,RES1,W1,4061.47,380402
5354,37.546,-122.333,2,2007,RES1,W1,7223.09,2773954
5355,37.5459,-122.339,2,2005,RES1,W1,4509.02,1195158
5356,37.5459,-122.334,2,2004,RES1,W1,5060.61,1989890
5357,37.5459,-122.334,2,2004,RES1,W1,574.843,1989890
5358,37.5459,-122.34,1,1956,RES1,W1,5044.4,275711
5359,37.5457,-122.339,1,1951,RES1,W1,3849.64,287315
5360,37.5456,-122.334,2,1937,RES1,W1,5968.32,2371641
5361,37.5453,-122.339,1,1973,RES1,W1,5616.98,524537
5362,37.5452,-122.334,2,2010,RES1,W1,6359.85,2813879
5363,37.5453,-122.333,2,2008,RES1,W1,5919.47,1082260
5364,37.5452,-122.338,2,1974,RES1,W1,3602.51,665639
5365,37.5451,-122.34,1,1948,RES1,W1,4227.59,1398451
5366,37.5449,-122.339,1,1973,RES1,W1,5610.8,687199
5367,37.5446,-122.339,1,1973,RES1,W1,5540.43,687199
5368,37.5448,-122.341,2,1959,RES1,W1,5117.55,549051
5369,37.5448,-122.34,1,1950,RES1,W1,4543.45,870403
5370,37.5499,-122.333,1,1971,RES1,W1,5331.17,686879
5371,37.5482,-122.333,1,1975,RES1,W1,5589.34,777305
5372,37.5477,-122.333,1,1972,RES1,W1,5220.34,562766
5373,37.5447,-122.338,1,1977,RES1,W1,6682.49,673603
5374,37.5447,-122.335,1,1977,RES1,W1,7150.52,870818
5375,37.5446,-122.34,1,1953,RES1,W1,4575.36,155335
5376,37.5541,-122.333,1,1934,RES1,W1,3086.46,226474
5377,37.562,-122.331,2,2006,RES1,W1,3783.64,1742930
5378,37.5618,-122.332,2,1907,RES1,W1,5150.4,321272
