id,Latitude,Longitude,NumberOfStories,YearBuilt,OccupancyClass,StructureType,PlanArea,ReplacementCost,Footprint
50,37.88360719,-122.3007066,3,2000,RES3,W2,2800,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.300761,37.883602],[-122.300544,37.883521],[-122.300487,37.883616],[-122.300704,37.883697],[-122.300761,37.883602]]]},""properties"":{}}"
51,37.88376285,-122.3015191,3,2000,RES3,W2,6250,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.301599,37.883785],[-122.301531,37.883522],[-122.301502,37.883527],[-122.301466,37.883387],[-122.301333,37.883408],[-122.301437,37.883811],[-122.301599,37.883785]]]},""properties"":{}}"
52,37.88395111,-122.3023967,3,2000,RES3,W2,6872,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.302234,37.884037],[-122.302426,37.884009],[-122.302419,37.883978],[-122.302464,37.883971],[-122.302428,37.883820],[-122.302344,37.883833],[-122.302331,37.883779],[-122.302396,37.883770],[-122.302377,37.883688],[-122.302151,37.883721],[-122.302181,37.883848],[-122.302189,37.883847],[-122.302234,37.884037]]]},""properties"":{}}"
53,37.88373088,-122.3020232,3,2000,RES3,W2,8470,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.301681,37.883663],[-122.301697,37.883714],[-122.301647,37.883723],[-122.301669,37.883795],[-122.301716,37.883786],[-122.301735,37.883848],[-122.302110,37.883777],[-122.302054,37.883594],[-122.301937,37.883616],[-122.301949,37.883655],[-122.301878,37.883668],[-122.301865,37.883628],[-122.301681,37.883663]]]},""properties"":{}}"
54,37.88353196,-122.3021942,3,2000,RES3,W2,2884,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.302320,37.883574],[-122.302294,37.883461],[-122.302066,37.883495],[-122.302093,37.883608],[-122.302320,37.883574]]]},""properties"":{}}"
55,37.88338633,-122.3017756,3,2000,RES3,W2,3550,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.301540,37.883492],[-122.301830,37.883444],[-122.301800,37.883329],[-122.301509,37.883376],[-122.301540,37.883492]]]},""properties"":{}}"
56,37.8841145,-122.3030178,3,2000,RES3,W2,2576,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.302903,37.884167],[-122.303127,37.884121],[-122.303091,37.884012],[-122.302867,37.884058],[-122.302903,37.884167]]]},""properties"":{}}"
57,37.88369536,-122.3028783,3,2000,RES3,W2,4900,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.302947,37.883755],[-122.302936,37.883698],[-122.302977,37.883692],[-122.302957,37.883594],[-122.302893,37.883603],[-122.302886,37.883570],[-122.302708,37.883592],[-122.302719,37.883646],[-122.302677,37.883651],[-122.302695,37.883742],[-122.302758,37.883734],[-122.302767,37.883778],[-122.302947,37.883755]]]},""properties"":{}}"
58,37.88360656,-122.3032563,3,2000,RES3,W2,4900,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.303301,37.883675],[-122.303289,37.883625],[-122.303339,37.883618],[-122.303314,37.883515],[-122.303256,37.883524],[-122.303246,37.883486],[-122.303067,37.883513],[-122.303080,37.883568],[-122.303032,37.883575],[-122.303055,37.883665],[-122.303112,37.883656],[-122.303123,37.883703],[-122.303301,37.883675]]]},""properties"":{}}"
59,37.88382678,-122.3033148,3,2000,RES3,W2,6500,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.303154,37.883757],[-122.303209,37.883955],[-122.303449,37.883913],[-122.303405,37.883754],[-122.303348,37.883763],[-122.303338,37.883725],[-122.303154,37.883757]]]},""properties"":{}}"
